#class tools::histo::h1d
#title energy spectrum of emerging gamma
#dimension 1
#axis fixed 100 0 6
#annotation axis_x.title  [MeV]
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
13,13,13,0.0916619,0.00064751
0,0,0,0,0
8,8,8,1.17497,0.175205
4,4,4,0.858065,0.184514
9930,9930,9930,2596.23,678.791
2,2,2,0.675509,0.228331
1,1,1,0.374832,0.140499
0,0,0,0,0
2,2,2,1.00103,0.501279
2,2,2,1.14943,0.661358
1,1,1,0.620071,0.384488
1,1,1,0.707025,0.499884
0,0,0,0,0
1,1,1,0.826112,0.682461
0,0,0,0,0
0,0,0,0,0
1,1,1,1.01095,1.02203
1,1,1,1.049,1.1004
0,0,0,0,0
9979,9979,9979,11707.6,13735.7
0,0,0,0,0
0,0,0,0,0
9992,9992,9992,13314.3,17741.3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
